"","Study_ID","Site_ID","broad_outcome","detailed_outcome","is_subset","Highest_taxonomic_resolution","disturbance_type","comparison_type","disturbance_av","control_av","dist_var","control_var","var_type","dist_n","control_n","above_below","perc_during_dist","perc_annual_dist","time_after_dist_end","Functional_group_size","Country","exp_obs","before_after","controlled","blocked","paired","randomized","Validity","lat","lon","trophic_to_use","exoskeleton","study_year","geary_test","lnrr_laj","v_lnrr_laj","yi","vi","rr_diff","sei","e_n","inv_n_tilda","sqrt_inv_n_tilda","aridity"
"11","Krashevska_2012a","Krashevska_2012a_1","abundance",NA,FALSE,"Testate amoebae","drought","undisturbed vs disturbed",10,1194,20,645,"SE",4,4,"belowground",-100,-100,NA,"microfauna","Ecuador","experimental",FALSE,TRUE,TRUE,FALSE,TRUE,"Medium validity",-3.975,-79.0736111111111,NA,"no",2012,"fail",-2.92838776387358,8.3131064345621,-4.7824792009585,4.29181712583016,1.85409143708492,2.07167012958872,8,0.5,0.707106781186548,0.8156
"12","Krashevska_2012a","Krashevska_2012a_1","abundance",NA,FALSE,"Testate amoebae","drought","undisturbed vs disturbed",14,55,27,102,"SE",4,4,"belowground",-100,-100,NA,"microfauna","Ecuador","experimental",FALSE,TRUE,TRUE,FALSE,TRUE,"Medium validity",-3.975,-79.0736111111111,NA,"no",2012,"fail",-1.22825139955379,13.5744508354775,-1.36827585561721,7.15872659807725,0.140024456063417,2.67557967515027,8,0.5,0.707106781186548,0.8156
"13","Krashevska_2012a","Krashevska_2012a_1","abundance",NA,FALSE,"Testate amoebae","drought","undisturbed vs disturbed",1268,5678,986,3587,"SE",4,4,"belowground",-100,-100,NA,"microfauna","Ecuador","experimental",FALSE,TRUE,TRUE,FALSE,TRUE,"Medium validity",-3.975,-79.0736111111111,NA,"no",2012,"fail",-1.39637087937405,1.13498028632121,-1.49915820203575,1.00375672427925,0.102787322661696,1.00187660132336,8,0.5,0.707106781186548,0.8156
"14","Krashevska_2012a","Krashevska_2012a_2","abundance",NA,FALSE,"Testate amoebae","drought","undisturbed vs disturbed",87,1263,95,609,"SE",4,4,"belowground",-100,-100,NA,"microfauna","Ecuador","experimental",FALSE,TRUE,TRUE,FALSE,TRUE,"Medium validity",-3.975,-79.0736111111111,NA,"no",2012,"fail",-2.1954065283613,1.79381332678938,-2.67533700369591,1.42486622597234,0.479930475334612,1.19367760554194,8,0.5,0.707106781186548,0.8156
"15","Krashevska_2012a","Krashevska_2012a_2","abundance",NA,FALSE,"Testate amoebae","drought","undisturbed vs disturbed",4422,4012,3407,1689,"SE",4,4,"belowground",-100,-100,NA,"microfauna","Ecuador","experimental",FALSE,TRUE,TRUE,FALSE,TRUE,"Medium validity",-3.975,-79.0736111111111,NA,"no",2012,"fail",0.305495983858643,0.866795815436061,0.0973022123355655,0.770847716861698,0.208193771523078,0.877979337377423,8,0.5,0.707106781186548,0.8156
"16","Krashevska_2012a","Krashevska_2012a_3","abundance",NA,FALSE,"Testate amoebae","drought","undisturbed vs disturbed",243,1364,156,357,"SE",4,4,"belowground",-100,-100,NA,"microfauna","Ecuador","experimental",FALSE,TRUE,TRUE,FALSE,TRUE,"Medium validity",-3.975,-79.0736111111111,NA,"no",2012,"fail",-1.55330059678747,0.524271409788367,-1.72511539506286,0.480634997261134,0.171814798275393,0.693278441364747,8,0.5,0.707106781186548,0.8156
"17","Krashevska_2012a","Krashevska_2012a_3","abundance",NA,FALSE,"Testate amoebae","drought","undisturbed vs disturbed",392,12,193,14,"SE",4,4,"belowground",-100,-100,NA,"microfauna","Ecuador","experimental",FALSE,TRUE,TRUE,FALSE,TRUE,"Medium validity",-3.975,-79.0736111111111,NA,"no",2012,"fail",2.92700238850771,2.08136259102218,3.48635519000246,1.60351661923273,0.559352801494748,1.26630036690855,8,0.5,0.707106781186548,0.8156
"18","Krashevska_2012a","Krashevska_2012a_3","abundance",NA,FALSE,"Testate amoebae","drought","undisturbed vs disturbed",3555,1905,1224,727,"SE",4,4,"belowground",-100,-100,NA,"microfauna","Ecuador","experimental",FALSE,TRUE,TRUE,FALSE,TRUE,"Medium validity",-3.975,-79.0736111111111,NA,"no",2012,"pass",0.6103259104016,0.273000442163943,0.62387305467654,0.264184498452139,0.0135471442749399,0.5139888116021,8,0.5,0.707106781186548,0.8156
"19","Krashevska_2012a","Krashevska_2012a_2","abundance",NA,FALSE,"Collembola","drought","undisturbed vs disturbed",24.57337884,65.80204778,3.549488055,5.733788396,"SE",24,24,"belowground",-100,-100,NA,"mesofauna","Ecuador","experimental",FALSE,TRUE,TRUE,FALSE,TRUE,"Medium validity",-3.975,-79.0736111111111,"fungivore","yes",2012,"pass",-0.97835158659069,0.02858028351772,-0.984987263119864,0.0284570420112166,0.00663567652917463,0.168692151599346,48,0.0833333333333333,0.288675134594813,0.8156
"20","Krashevska_2012a","Krashevska_2012a_2","abundance",NA,FALSE,"Collembola","drought","undisturbed vs disturbed",14.47098976,65.80204778,1.638225256,5.733788396,"SE",24,24,"belowground",-100,-100,NA,"mesofauna","Ecuador","experimental",FALSE,TRUE,TRUE,FALSE,TRUE,"Medium validity",-3.975,-79.0736111111111,"fungivore","yes",2012,"pass",-1.51189346785908,0.0204642681723286,-1.51450501999015,0.0204087932150004,0.00261155213106656,0.142859347664059,48,0.0833333333333333,0.288675134594813,0.8156
