"","Study_ID","Site_ID","broad_outcome","detailed_outcome","is_subset","Highest_taxonomic_resolution","trophic_group","trophic_assigned","sampling_method","disturbance_type","comparison_type","disturbance_av","control_av","dist_var","control_var","var_type","dist_n","control_n","significant","approx_p_val","exact_p_val","sample_area","sampling_depth","perc_during_dist","perc_annual_dist","time_after_dist_start","time_after_dist_end","lat","lon","forest_type","deciduous_coniferous","plantation","plot_area","mean_annual_precipitation","mean_annual_temperature","control_SD","dist_SD","Article","Did.the.study.consist.of.both.temporal.and.spatial.comparisons.","Did.the.study.use.randomization.","Did.the.study.avoid.confounding.factors.","Can.study.determine.causality.","Validity","study_year","yi","vi","sei","e_n","inv_n_tilda","sqrt_inv_n_tilda"
"11","Lindberg_2004a","Lindberg_2004a_1","alpha diversity","species number",FALSE,"Oribatida",NA,NA,"tullgren funnel","precip_inc","undisturbed vs disturbed",26.2,24.5,2.1,1.2,"SE",4,4,FALSE,">0.05",NA,100,8,NA,NA,4750,NA,64.11666667,19.45,"boreal forest","coniferous",TRUE,2500,590,NA,2.4,4.2,"Lindberg and Persson, 2004","Partially","Yes","Yes","Yes","Medium validity",2004,0.0670862932163698,0.00882345120607416,0.0939332273802735,8,0.5,0.707106781186548
"12","Riutta_2012a","Riutta_2012a_1","alpha diversity","species number",FALSE,"Diplopoda",NA,NA,"hand sorting","precip_inc","undisturbed vs disturbed",1.005882353,0.811764706,0.414705882,0.194117647,"SE",5,5,NA,NA,NA,NA,NA,121,30.25,120,NA,51.76666667,-1.333333333,"temperate seasonal forest","deciduous",FALSE,9,730,10.1,0.434060254324308,0.927310542821007,"Ruitta et al. 2012","Yes","No","Yes","Yes","Low validity",2012,0.214409871259007,0.227158741517977,0.476611730361284,10,0.4,0.632455532033676
"13","Riutta_2012a","Riutta_2012a_1","alpha diversity","species number",FALSE,"Diplopoda",NA,NA,"hand sorting","precip_inc","undisturbed vs disturbed",1.720588235,1.217647059,0.114705882,0.317647059,"SE",5,5,NA,NA,NA,NA,NA,121,30.25,120,NA,51.76666667,-1.333333333,"temperate seasonal forest","deciduous",FALSE,9,730,10.1,0.710280416776886,0.25649014957107,"Ruitta et al. 2012","Yes","No","Yes","Yes","Low validity",2012,0.345745873090675,0.0724973745312132,0.269253364939444,10,0.4,0.632455532033676
"14","Riutta_2012a","Riutta_2012a_1","alpha diversity","species number",FALSE,"Oniscidea",NA,NA,"hand sorting","precip_inc","undisturbed vs disturbed",1.203296703,0.906593407,0.247252747,0.28021978,"SE",5,5,NA,NA,NA,NA,NA,121,30.25,120,NA,51.76666667,-1.333333333,"temperate seasonal forest","deciduous",FALSE,9,730,10.1,0.626590476720036,0.552873949915557,"Ruitta et al. 2012","Yes","No","Yes","Yes","Low validity",2012,0.28312625522086,0.137758994998329,0.371158988842152,10,0.4,0.632455532033676
"15","Riutta_2012a","Riutta_2012a_1","alpha diversity","species number",FALSE,"Oniscidea",NA,NA,"hand sorting","precip_inc","undisturbed vs disturbed",1.392857143,0.791208791,0.107142857,0.197802198,"SE",5,5,NA,NA,NA,NA,NA,121,30.25,120,NA,51.76666667,-1.333333333,"temperate seasonal forest","deciduous",FALSE,9,730,10.1,0.442299160826873,0.239578711555539,"Ruitta et al. 2012","Yes","No","Yes","Yes","Low validity",2012,0.56555052382169,0.0684171599043069,0.261566740822121,10,0.4,0.632455532033676
"16","Sohlenius_1984a","Sohlenius_1984a_1","alpha diversity","shannon wiener",FALSE,"Nematoda",NA,NA,"baerman funnel","precip_inc","undisturbed vs disturbed",3.13,1.98,NA,NA,NA,5,5,NA,NA,NA,4.15,0,76.0416667,76.0416667,2251,NA,60.81666667,16.5,"boreal forest","coniferous",NA,900,NA,NA,0.935531006482855,1.56115688375985,"Sohlenius and Wasilewska, 1984","Partially","Yes","Yes","Yes","Medium validity",1984,0.457936159845618,0.0944041719825518,0.307252619163046,10,0.4,0.632455532033676
"17","Sohlenius_1984a","Sohlenius_1984a_1","alpha diversity","shannon wiener",FALSE,"Nematoda",NA,NA,"baerman funnel","precip_inc","undisturbed vs disturbed",3.35,2.46,NA,NA,NA,5,5,NA,NA,NA,4.15,2,76.0416667,76.0416667,2251,NA,60.81666667,16.5,"boreal forest","coniferous",NA,900,NA,NA,1.16232640199385,1.67088676057364,"Sohlenius and Wasilewska, 1984","Partially","Yes","Yes","Yes","Medium validity",1984,0.308798995892704,0.0944041719825518,0.307252619163046,10,0.4,0.632455532033676
"18","Sohlenius_1984a","Sohlenius_1984a_1","alpha diversity","shannon wiener",FALSE,"Nematoda",NA,NA,"baerman funnel","precip_inc","undisturbed vs disturbed",2.94,2.66,NA,NA,NA,5,5,NA,NA,NA,4.15,8,76.0416667,76.0416667,2251,NA,60.81666667,16.5,"boreal forest","coniferous",NA,900,NA,NA,1.25682448345676,1.46639017196612,"Sohlenius and Wasilewska, 1984","Partially","Yes","Yes","Yes","Medium validity",1984,0.100083458556982,0.0944041719825518,0.307252619163046,10,0.4,0.632455532033676
"19","Sohlenius_1984a","Sohlenius_1984a_1","alpha diversity","richness",FALSE,"Nematoda",NA,NA,"baerman funnel","precip_inc","undisturbed vs disturbed",15,12,NA,NA,NA,5,5,NA,NA,NA,4.15,0,76.0416667,76.0416667,2251,NA,60.81666667,16.5,"boreal forest","coniferous",NA,900,NA,NA,5.66988488777488,7.48158251003123,"Sohlenius and Wasilewska, 1984","Partially","Yes","Yes","Yes","Medium validity",1984,0.22314355131421,0.0944041719825518,0.307252619163046,10,0.4,0.632455532033676
"20","Sohlenius_1984a","Sohlenius_1984a_1","alpha diversity","richness",FALSE,"Nematoda",NA,NA,"baerman funnel","precip_inc","undisturbed vs disturbed",19,18,NA,NA,NA,5,5,NA,NA,NA,4.15,2,76.0416667,76.0416667,2251,NA,60.81666667,16.5,"boreal forest","coniferous",NA,900,NA,NA,8.50482733166232,9.47667117937289,"Sohlenius and Wasilewska, 1984","Partially","Yes","Yes","Yes","Medium validity",1984,0.0540672212702758,0.0944041719825518,0.307252619163046,10,0.4,0.632455532033676
