Site_ID,broad_outcome,detailed_outcome,is_subset,Highest_taxonomic_resolution,body_size,trophic_group,sampling_method,sampling_month,sampling_season,disturbance_type,comparison_type,disturbance_av,control_av,disturbance_av_before,control_av_before,av_type,unit,dist_var,control_var,dist_var_before,control_var_before,var_type,dist_n,control_n,description_data_extraction,significant,approx_p_val,exact_p_val,exact_z_val,sample_area,sampling_depth,dist_strength_during,annual_strength_dist,perc_during_dist,perc_annual_dist,time_after_dist_start,time_after_dist_end,TN,SOC,soil_moisture,soil_moisture_unit,soil_bulk_density ,function_info,log_tranformed,notes,,
Lindberg_2002a_1,abundance,NA,FALSE,Collembola,NA,NA,high-gradient canister,October,Autumn,drought,undisturbed vs disturbed,12800,38000,NA,NA,mean,densities m?2,7800,6300,,,SE,4,4,p 928 table 2,FALSE,>0.05,,NA,100,10,70,35,70,35,2555,NA,,,0.401515152,dw/fw,NA,FALSE,,,,
Lindberg_2002a_1,abundance,NA,FALSE,Enchytraeidae,NA,NA,baerman funnel,October,Autumn,drought,undisturbed vs disturbed,3300,36600,NA,NA,mean,densities m?2,1900,8700,,,SE,4,4,p 928 table 2,TRUE,<0.05,,NA,15.9,15,70,35,70,35,2555,NA,,,0.401515152,dw/fw,NA,FALSE,,,,
Lindberg_2002a_1,abundance,NA,FALSE,Macroarthropods,NA,predator ,tullgren funnel,October,Autumn,drought,undisturbed vs disturbed,190,860,NA,NA,mean,densities m?2,70,100,,,SE,4,4,p 928 table 2,TRUE,<0.05,,NA,100,10,70,35,70,35,2555,NA,,,0.401515152,dw/fw,NA,FALSE,,,,
Lindberg_2002a_1,evenness,NA,FALSE,Oribatida,NA,NA,tullgren funnel,October,Autumn,drought,undisturbed vs disturbed,0.44,0.61,NA,NA,mean,NA,NA,NA,,,NA,4,4,p 928 table 3 ,TRUE,<0.05,NA,NA,100,10,70,35,70,35,2555,NA,,,0.401515152,dw/fw,NA,FALSE,,,,
Lindberg_2002a_1,evenness,NA,FALSE,Collembola,NA,NA,tullgren funnel,October,Autumn,drought,undisturbed vs disturbed,0.51,0.69,NA,NA,mean,NA,NA,NA,,,NA,4,4,p 928 table 3 ,FALSE,>0.05,NA,NA,100,10,70,35,70,35,2555,NA,,,0.401515152,dw/fw,NA,FALSE,,,,
Lindberg_2002a_1,alpha diversity,fishers alpha,FALSE,Oribatida,NA,NA,tullgren funnel,October,Autumn,drought,undisturbed vs disturbed,3.43,3.65,NA,NA,mean,NA,NA,NA,,,NA,4,4,p 928 table 3 ,FALSE,>0.05,NA,NA,100,10,70,35,70,35,2555,NA,,,0.401515152,dw/fw,NA,FALSE,,,,
Lindberg_2002a_1,alpha diversity,fishers alpha,FALSE,Collembola,NA,NA,tullgren funnel,November,Autumn,drought,undisturbed vs disturbed,2.41,2.34,NA,NA,mean,NA,NA,NA,,,NA,4,4,p 928 table 3 ,FALSE,>0.05,NA,NA,100,10,70,35,70,35,2555,NA,,,0.401515152,dw/fw,NA,FALSE,,,,
Lindberg_2002a_1,alpha diversity,shannon wiener,FALSE,Oribatida,NA,NA,tullgren funnel,October,Autumn,drought,undisturbed vs disturbed,1.33,1.99,NA,NA,mean,NA,NA,NA,,,NA,4,4,p 928 table 3 ,TRUE,<0.05,NA,NA,100,10,70,35,70,35,2555,NA,,,0.401515152,dw/fw,NA,FALSE,,,,
Lindberg_2002a_1,alpha diversity,shannon wiener,FALSE,Collembola,NA,NA,tullgren funnel,October,Autumn,drought,undisturbed vs disturbed,1.22,1.85,NA,NA,mean,NA,NA,NA,,,NA,4,4,p 928 table 3 ,FALSE,>0.05,NA,NA,100,10,70,35,70,35,2555,NA,,,0.401515152,dw/fw,NA,FALSE,,,,
Lindberg_2002a_1,alpha diversity,simpsons index,FALSE,Oribatida,NA,NA,tullgren funnel,October,Autumn,drought,undisturbed vs disturbed,20,26,NA,NA,mean,ind/500ind,1.7,0.6,,,SE,4,4,p 928 table 3,TRUE,<0.05,NA,NA,100,10,70,35,70,35,2555,NA,,,0.401515152,dw/fw,NA,FALSE,,,,
