"","Study_ID","Site_ID","broad_outcome","detailed_outcome","is_subset","Highest_taxonomic_resolution","disturbance_type","comparison_type","disturbance_av","control_av","dist_var","control_var","var_type","dist_n","control_n","above_below","perc_during_dist","perc_annual_dist","time_after_dist_end","Functional_group_size","Country","exp_obs","before_after","controlled","blocked","paired","randomized","Validity","lat","lon","trophic_to_use","exoskeleton","study_year","geary_test","lnrr_laj","v_lnrr_laj","yi","vi","rr_diff","sei","e_n","inv_n_tilda","sqrt_inv_n_tilda","aridity"
"12","Homet_2021a","Homet_2021a_2","alpha diversity","richness",FALSE,"Mesofauna","drought","undisturbed vs disturbed",1.86,3.18,0.48,0.48,"SE",43,43,"aboveground",-30,-30,0,"mesofauna","Spain","experimental",FALSE,TRUE,TRUE,FALSE,FALSE,"Low validity",36.568749,-5.53564,NA,"yes",2021,"pass",-0.514398016256702,0.0906197798832385,-0.536304709066976,0.0893812033492761,0.0219066928102735,0.298966893400049,86,0.0465116279069767,0.215665546406877,0.4913
"13","Homet_2021a","Homet_2021a_2","alpha diversity","richness",FALSE,"Mesofauna","drought","undisturbed vs disturbed",2.52,3.18,0.42,0.42,"SE",43,43,"aboveground",-30,-30,92,"mesofauna","Spain","experimental",FALSE,TRUE,TRUE,FALSE,FALSE,"Low validity",36.568749,-5.53564,NA,"yes",2021,"pass",-0.227455371492004,0.0454906819120422,-0.232622295268754,0.0452217080020569,0.00516692377674946,0.212653963052789,86,0.0465116279069767,0.215665546406877,0.4913
"14","Homet_2021a","Homet_2021a_2","alpha diversity","richness",FALSE,"Mesofauna","drought","undisturbed vs disturbed",10.2,9.78,0.42,0.42,"SE",43,43,"aboveground",-30,-30,274,"mesofauna","Spain","experimental",FALSE,TRUE,TRUE,FALSE,FALSE,"Low validity",36.568749,-5.53564,NA,"yes",2021,"pass",0.0419738598173473,0.00354132531278226,0.0420482362434994,0.00353975631251188,7.43764261521423e-05,0.0594958512210043,86,0.0465116279069767,0.215665546406877,0.4913
"15","Homet_2021a","Homet_2021a_2","alpha diversity","richness",FALSE,"Mesofauna","drought","undisturbed vs disturbed",9.78,9.12,0.6,0.6,"SE",43,43,"aboveground",-30,-30,594,"mesofauna","Spain","experimental",FALSE,TRUE,TRUE,FALSE,FALSE,"Low validity",36.568749,-5.53564,NA,"yes",2021,"pass",0.0695874449676919,0.00810026467633122,0.069869679960486,0.00809203970970272,0.000282234992794075,0.0899557652944085,86,0.0465116279069767,0.215665546406877,0.4913
"16","Lindberg_2002a","Lindberg_2002a_1","alpha diversity","fishers alpha",FALSE,"Collembola","drought","undisturbed vs disturbed",2.41,2.34,NA,NA,NA,4,4,"belowground",-70,-35,NA,"mesofauna","Sweden","experimental",FALSE,TRUE,TRUE,FALSE,TRUE,"Medium validity",56.55,13.2166666666667,"fungivore","yes",2002,NA,-3.15643302737648,19.6811746249284,0.0294758181329537,NA,3.18590884550943,NA,8,0.5,0.707106781186548,1.5437
"17","Lindberg_2002a","Lindberg_2002a_1","alpha diversity","shannon wiener",FALSE,"Collembola","drought","undisturbed vs disturbed",1.22,1.85,NA,NA,NA,4,4,"belowground",-70,-35,NA,"mesofauna","Sweden","experimental",FALSE,TRUE,TRUE,FALSE,TRUE,"Medium validity",56.55,13.2166666666667,"fungivore","yes",2002,NA,-3.6022436258545,19.6811746249284,-0.416334780345068,NA,3.18590884550943,NA,8,0.5,0.707106781186548,1.5437
"18","Lindberg_2002a","Lindberg_2002a_1","alpha diversity","simpsons index",FALSE,"Collembola","drought","undisturbed vs disturbed",12,15,0.6,0.8,"SE",4,4,"belowground",-70,-35,NA,"mesofauna","Sweden","experimental",FALSE,TRUE,TRUE,FALSE,TRUE,"Medium validity",56.55,13.2166666666667,"fungivore","yes",2002,"pass",-0.223315773536432,0.00534802966049383,-0.22314355131421,0.00534444444444445,0.000172222222222268,0.0731057073315377,8,0.5,0.707106781186548,1.5437
"19","Lindberg_2002a","Lindberg_2002a_1","alpha diversity","fishers alpha",FALSE,"Oribatida","drought","undisturbed vs disturbed",3.43,3.65,NA,NA,NA,4,4,"belowground",-70,-35,NA,"mesofauna","Sweden","experimental",FALSE,TRUE,TRUE,FALSE,TRUE,"Medium validity",56.55,13.2166666666667,NA,"yes",2002,NA,-3.24807575192598,19.6811746249284,-0.0621669064165516,NA,3.18590884550943,NA,8,0.5,0.707106781186548,1.5437
"20","Lindberg_2002a","Lindberg_2002a_1","alpha diversity","shannon wiener",FALSE,"Oribatida","drought","undisturbed vs disturbed",1.33,1.99,NA,NA,NA,4,4,"belowground",-70,-35,NA,"mesofauna","Sweden","experimental",FALSE,TRUE,TRUE,FALSE,TRUE,"Medium validity",56.55,13.2166666666667,NA,"yes",2002,NA,-3.58886454201217,19.6811746249284,-0.402955696502739,NA,3.18590884550943,NA,8,0.5,0.707106781186548,1.5437
"21","Lindberg_2002a","Lindberg_2002a_1","alpha diversity","simpsons index",FALSE,"Oribatida","drought","undisturbed vs disturbed",20,26,1.7,0.6,"SE",4,4,"belowground",-70,-35,NA,"mesofauna","Sweden","experimental",FALSE,TRUE,TRUE,FALSE,TRUE,"Medium validity",56.55,13.2166666666667,NA,"yes",2002,"pass",-0.25901803665684,0.00777066543582704,-0.262364264467491,0.00775754437869822,0.0033462278106508,0.0880769230769231,8,0.5,0.707106781186548,1.5437
"22","Lindberg_2006a","Lindberg_2006a_1","alpha diversity","richness",FALSE,"Collembola","drought","undisturbed vs disturbed",10.96062992,13.95275591,0.94488189,1.637795276,"SE",4,4,"belowground",-70,-35,NA,"mesofauna","Sweden","experimental",FALSE,TRUE,TRUE,FALSE,TRUE,"Medium validity",56.55,13.2166666666667,"fungivore","yes",2006,"pass",-0.244540683275797,0.0212713116256809,-0.241367290707274,0.0212100431740533,0.00317339256852259,0.145636682103285,8,0.5,0.707106781186548,1.5437
"23","Lindberg_2006a","Lindberg_2006a_1","alpha diversity","richness",FALSE,"Collembola","drought","undisturbed vs disturbed",11.49606299,14.74015748,0.62992126,0.881889764,"SE",4,4,"belowground",-70,-35,NA,"mesofauna","Sweden","experimental",FALSE,TRUE,TRUE,FALSE,TRUE,"Medium validity",56.55,13.2166666666667,"fungivore","yes",2006,"pass",-0.24885948095736,0.00658741278179565,-0.248570942498719,0.00658195588666285,0.000288538458640408,0.081129254197625,8,0.5,0.707106781186548,1.5437
"24","Lindberg_2006a","Lindberg_2006a_1","alpha diversity","richness",FALSE,"Collembola","drought","undisturbed vs disturbed",17.29133858,15.52755906,0.818897638,0.598425197,"SE",4,4,"belowground",-70,-35,NA,"mesofauna","Sweden","experimental",FALSE,TRUE,TRUE,FALSE,TRUE,"Medium validity",56.55,13.2166666666667,"fungivore","yes",2006,"pass",0.107968047987373,0.0037299655173014,0.107589266997612,0.00372815638602746,0.000378780989760588,0.0610586307251273,8,0.5,0.707106781186548,1.5437
"25","Lindberg_2006a","Lindberg_2006a_1","alpha diversity","richness",FALSE,"Collembola","drought","undisturbed vs disturbed",12,14.96062992,0.913385827,0.440944882,"SE",4,4,"belowground",-70,-35,NA,"mesofauna","Sweden","experimental",FALSE,TRUE,TRUE,FALSE,TRUE,"Medium validity",56.55,13.2166666666667,"fungivore","yes",2006,"pass",-0.218052994281698,0.00667084522125724,-0.22051542882373,0.00666226520710911,0.00246243454203207,0.0816227003174307,8,0.5,0.707106781186548,1.5437
"26","Lindberg_2006a","Lindberg_2006a_1","alpha diversity","richness",FALSE,"Collembola","drought","undisturbed vs disturbed",13.54330709,14.74015748,0.472440945,0.881889764,"SE",4,4,"belowground",-70,-35,365,"mesofauna","Sweden","experimental",FALSE,TRUE,TRUE,FALSE,TRUE,"Medium validity",56.55,13.2166666666667,"fungivore","yes",2006,"pass",-0.0858644081666879,0.0047999638179027,-0.0846830869586711,0.00479639038791029,0.00118132120801683,0.0692559772720759,8,0.5,0.707106781186548,1.5437
"27","Lindberg_2006a","Lindberg_2006a_1","alpha diversity","richness",FALSE,"Collembola","drought","undisturbed vs disturbed",14.23622047,15.52755906,1.480314961,0.598425197,"SE",4,4,"belowground",-70,-35,730,"mesofauna","Sweden","experimental",FALSE,TRUE,TRUE,FALSE,TRUE,"Medium validity",56.55,13.2166666666667,"fungivore","yes",2006,"pass",-0.0821634838447257,0.0123273941966758,-0.0868269946963208,0.0122976161096967,0.00466351085159508,0.110894617135804,8,0.5,0.707106781186548,1.5437
"28","Lindberg_2006a","Lindberg_2006a_1","alpha diversity","richness",FALSE,"Collembola","drought","undisturbed vs disturbed",13.73228346,14.96062992,0.913385827,0.440944882,"SE",4,4,"belowground",-70,-35,1095,"mesofauna","Sweden","experimental",FALSE,TRUE,TRUE,FALSE,TRUE,"Medium validity",56.55,13.2166666666667,"fungivore","yes",2006,"pass",-0.0838948697298456,0.00529786031236576,-0.0856725609339652,0.0052927785312845,0.00177769120411968,0.0727514847359454,8,0.5,0.707106781186548,1.5437
"29","Lindberg_2006a","Lindberg_2006a_1","alpha diversity","shannon wiener",FALSE,"Collembola","drought","undisturbed vs disturbed",1.22,1.85,0.36,0.05,"SE",4,4,"belowground",-70,-35,NA,"mesofauna","Sweden","experimental",FALSE,TRUE,TRUE,FALSE,TRUE,"Medium validity",56.55,13.2166666666667,"fungivore","yes",2006,"pass",-0.373163326752847,0.0896994037837813,-0.416334780345068,0.0878038275642814,0.0431714535922211,0.296317106432081,8,0.5,0.707106781186548,1.5437
"30","Lindberg_2006a","Lindberg_2006a_1","alpha diversity","shannon wiener",FALSE,"Collembola","drought","undisturbed vs disturbed",1.86,1.81,0.08,0.07,"SE",4,4,"belowground",-70,-35,NA,"mesofauna","Sweden","experimental",FALSE,TRUE,TRUE,FALSE,TRUE,"Medium validity",56.55,13.2166666666667,"fungivore","yes",2006,"pass",0.0274267644507654,0.00334702050760481,0.0272496424473755,0.0033456056868263,0.000177122003389884,0.0578412109730277,8,0.5,0.707106781186548,1.5437
"31","Lindberg_2006a","Lindberg_2006a_1","alpha diversity","shannon wiener",FALSE,"Collembola","drought","undisturbed vs disturbed",1.45,1.76,0.11,0.05,"SE",4,4,"belowground",-70,-35,NA,"mesofauna","Sweden","experimental",FALSE,TRUE,TRUE,FALSE,TRUE,"Medium validity",56.55,13.2166666666667,"fungivore","yes",2006,"pass",-0.191276264086853,0.00657057295732663,-0.193750252617577,0.00656212995400989,0.00247398853072398,0.0810069747244636,8,0.5,0.707106781186548,1.5437
"32","Lindberg_2006a","Lindberg_2006a_1","alpha diversity","shannon wiener",FALSE,"Collembola","drought","undisturbed vs disturbed",1.48,1.85,0.16,0.05,"SE",4,4,"belowground",-70,-35,365,"mesofauna","Sweden","experimental",FALSE,TRUE,TRUE,FALSE,TRUE,"Medium validity",56.55,13.2166666666667,"fungivore","yes",2006,"pass",-0.217665099889812,0.012452105235356,-0.22314355131421,0.012417823228634,0.00547845142439746,0.111435287178856,8,0.5,0.707106781186548,1.5437
"33","Lindberg_2006a","Lindberg_2006a_1","alpha diversity","shannon wiener",FALSE,"Collembola","drought","undisturbed vs disturbed",1.27,1.81,0.19,0.07,"SE",4,4,"belowground",-70,-35,730,"mesofauna","Sweden","experimental",FALSE,TRUE,TRUE,FALSE,TRUE,"Medium validity",56.55,13.2166666666667,"fungivore","yes",2006,"pass",-0.343866762845201,0.024003523851362,-0.354309944807234,0.0238777256041127,0.0104431819620331,0.154524190999703,8,0.5,0.707106781186548,1.5437
"34","Lindberg_2006a","Lindberg_2006a_1","alpha diversity","shannon wiener",FALSE,"Collembola","drought","undisturbed vs disturbed",1.49,1.76,0.13,0.05,"SE",4,4,"belowground",-70,-35,1095,"mesofauna","Sweden","experimental",FALSE,TRUE,TRUE,FALSE,TRUE,"Medium validity",56.55,13.2166666666667,"fungivore","yes",2006,"pass",-0.163135092457043,0.00843399566952211,-0.166537689092693,0.00841934616386128,0.00340259663564962,0.0917569951767236,8,0.5,0.707106781186548,1.5437
"35","Lindberg_2006a","Lindberg_2006a_1","alpha diversity","richness",FALSE,"Mesostigmata","drought","undisturbed vs disturbed",7.763239875,10.68535826,0.741433022,0.828660436,"SE",4,4,"belowground",-70,-35,NA,"mesofauna","Sweden","experimental",FALSE,TRUE,TRUE,FALSE,TRUE,"Medium validity",56.55,13.2166666666667,"predator","yes",2006,"pass",-0.317921079572609,0.0151653259962253,-0.319474660728458,0.0151354838301747,0.00155358115584958,0.123026354209879,8,0.5,0.707106781186548,1.5437
"36","Lindberg_2006a","Lindberg_2006a_1","alpha diversity","richness",FALSE,"Mesostigmata","drought","undisturbed vs disturbed",7.021806854,8.722741433,0.654205607,0.479750779,"SE",4,4,"belowground",-70,-35,NA,"mesofauna","Sweden","experimental",FALSE,TRUE,TRUE,FALSE,TRUE,"Medium validity",56.55,13.2166666666667,"predator","yes",2006,"pass",-0.214085391174381,0.0117263448730677,-0.216913001501624,0.0117052206591514,0.00282761032724277,0.108190668077942,8,0.5,0.707106781186548,1.5437
"37","Lindberg_2006a","Lindberg_2006a_1","alpha diversity","richness",FALSE,"Mesostigmata","drought","undisturbed vs disturbed",6.498442368,8.722741433,0.654205607,0.697819315,"SE",4,4,"belowground",-70,-35,NA,"mesofauna","Sweden","experimental",FALSE,TRUE,TRUE,FALSE,TRUE,"Medium validity",56.55,13.2166666666667,"predator","yes",2006,"pass",-0.292503721240983,0.0165705965362852,-0.294371060538716,0.0165346786086723,0.00186733929773281,0.128587241235949,8,0.5,0.707106781186548,1.5437
"38","Lindberg_2006a","Lindberg_2006a_1","alpha diversity","richness",FALSE,"Mesostigmata","drought","undisturbed vs disturbed",6.542056075,9.333333333,0.828660436,0.30529595,"SE",4,4,"belowground",-70,-35,NA,"mesofauna","Sweden","experimental",FALSE,TRUE,TRUE,FALSE,TRUE,"Medium validity",56.55,13.2166666666667,"predator","yes",2006,"pass",-0.347853479855732,0.0171790491333471,-0.355340720854167,0.0171144068791098,0.00748724099843556,0.130822042787558,8,0.5,0.707106781186548,1.5437
"39","Lindberg_2006a","Lindberg_2006a_1","alpha diversity","richness",FALSE,"Mesostigmata","drought","undisturbed vs disturbed",9.551401869,8.722741433,0.261682243,0.479750779,"SE",4,4,"belowground",-70,-35,365,"mesofauna","Sweden","experimental",FALSE,TRUE,TRUE,FALSE,TRUE,"Medium validity",56.55,13.2166666666667,"predator","yes",2006,"pass",0.0896171681884627,0.00377803838297935,0.0907543632543301,0.00377560987293137,0.00113719506586737,0.061445991512314,8,0.5,0.707106781186548,1.5437
"40","Lindberg_2006a","Lindberg_2006a_1","alpha diversity","richness",FALSE,"Mesostigmata","drought","undisturbed vs disturbed",8.722741433,8.722741433,0.6105919,0.697819315,"SE",4,4,"belowground",-70,-35,730,"mesofauna","Sweden","experimental",FALSE,TRUE,TRUE,FALSE,TRUE,"Medium validity",56.55,13.2166666666667,"predator","yes",2006,"pass",-0.000750000005789465,0.0113162425016369,0,0.0113000000016279,0.000750000005789465,0.106301458135004,8,0.5,0.707106781186548,1.5437
"41","Lindberg_2006a","Lindberg_2006a_1","alpha diversity","richness",FALSE,"Mesostigmata","drought","undisturbed vs disturbed",8.46105919,9.333333333,1.177570093,0.30529595,"SE",4,4,"belowground",-70,-35,1095,"mesofauna","Sweden","experimental",FALSE,TRUE,TRUE,FALSE,TRUE,"Medium validity",56.55,13.2166666666667,"predator","yes",2006,"pass",-0.0889679609721334,0.0205337978223836,-0.098117855926491,0.0204397147909537,0.00914989495435767,0.142967530547862,8,0.5,0.707106781186548,1.5437
"42","Lindberg_2006a","Lindberg_2006a_1","alpha diversity","shannon wiener",FALSE,"Mesostigmata","drought","undisturbed vs disturbed",1.6,1.51,0.08,0.02,"SE",4,4,"belowground",-70,-35,NA,"mesofauna","Sweden","experimental",FALSE,TRUE,TRUE,FALSE,TRUE,"Medium validity",56.55,13.2166666666667,"predator","yes",2006,"pass",0.0590562629678259,0.00267700109615377,0.0578939784189027,0.00267543090215341,0.00116228454892325,0.0517245676845483,8,0.5,0.707106781186548,1.5437
"43","Lindberg_2006a","Lindberg_2006a_1","alpha diversity","shannon wiener",FALSE,"Mesostigmata","drought","undisturbed vs disturbed",1.14,1.33,0.1,0.1,"SE",4,4,"belowground",-70,-35,NA,"mesofauna","Sweden","experimental",FALSE,TRUE,TRUE,FALSE,TRUE,"Medium validity",56.55,13.2166666666667,"predator","yes",2006,"pass",-0.153129957595614,0.0133706978677317,-0.154150679827258,0.0133479061061174,0.0010207222316444,0.115533138562568,8,0.5,0.707106781186548,1.5437
"44","Lindberg_2006a","Lindberg_2006a_1","alpha diversity","shannon wiener",FALSE,"Mesostigmata","drought","undisturbed vs disturbed",1.01,1.55,0.18,0.04,"SE",4,4,"belowground",-70,-35,NA,"mesofauna","Sweden","experimental",FALSE,TRUE,TRUE,FALSE,TRUE,"Medium validity",56.55,13.2166666666667,"predator","yes",2006,"pass",-0.41275679055002,0.0326798755072302,-0.428304600077987,0.0324275649456333,0.0155478095279675,0.180076553014637,8,0.5,0.707106781186548,1.5437
"45","Lindberg_2006a","Lindberg_2006a_1","alpha diversity","shannon wiener",FALSE,"Mesostigmata","drought","undisturbed vs disturbed",1.54,1.51,0.15,0.02,"SE",4,4,"belowground",-70,-35,365,"mesofauna","Sweden","experimental",FALSE,TRUE,TRUE,FALSE,TRUE,"Medium validity",56.55,13.2166666666667,"predator","yes",2006,"pass",0.0243286831380144,0.00968520663087372,0.0196727655987049,0.00966269688292589,0.0046559175393095,0.0982990177108901,8,0.5,0.707106781186548,1.5437
"46","Lindberg_2006a","Lindberg_2006a_1","alpha diversity","shannon wiener",FALSE,"Mesostigmata","drought","undisturbed vs disturbed",1.39,1.33,0.03,0.1,"SE",4,4,"belowground",-70,-35,730,"mesofauna","Sweden","experimental",FALSE,TRUE,TRUE,FALSE,TRUE,"Medium validity",56.55,13.2166666666667,"predator","yes",2006,"pass",0.0415310966976509,0.00612708922069867,0.0441248049089379,0.00611904522025508,0.00259370821128696,0.078224326269103,8,0.5,0.707106781186548,1.5437
"47","Lindberg_2006a","Lindberg_2006a_1","alpha diversity","shannon wiener",FALSE,"Mesostigmata","drought","undisturbed vs disturbed",1.42,1.55,0.09,0.04,"SE",4,4,"belowground",-70,-35,1095,"mesofauna","Sweden","experimental",FALSE,TRUE,TRUE,FALSE,TRUE,"Medium validity",56.55,13.2166666666667,"predator","yes",2006,"pass",-0.0859225157368497,0.00468717812493759,-0.087598059317986,0.00468303305197072,0.00167554358113627,0.0684326899366868,8,0.5,0.707106781186548,1.5437
"48","Lindberg_2006a","Lindberg_2006a_1","alpha diversity","richness",FALSE,"Oribatida","drought","undisturbed vs disturbed",18,26.1643836,1.260273973,2.02739726,"SE",4,4,"belowground",-70,-35,NA,"mesofauna","Sweden","experimental",FALSE,TRUE,TRUE,FALSE,TRUE,"Medium validity",56.55,13.2166666666667,NA,"yes",2006,"pass",-0.374578368573839,0.0109213728799998,-0.374027323462088,0.0109063524890653,0.000551045111751081,0.104433483562817,8,0.5,0.707106781186548,1.5437
