Study_ID,site_no,Site_ID,Country,Detailed_location,Latitude_deg,Latitude_min,Latitude_sec,Longitude_deg,Longitude_min,Longitude_sec,Lat_dec_deg,Lon_dec_deg,fire,drought,precip_inc,windthrow,insect_pest,pathogen,forest_type,deciduous_coniferous,plantation,monoculture,native_non_native_trees,exp_obs,before_after,controlled,blocked,paired,randomized,temporal_sampling_type,plot_area,mean_annual_precipitation,mean_annual_temperature,soil_pH,soil_type,notes
Ashton_2019a,1,Ashton_2019a_1,Malaysia,Danum Valley Conservation Area,4,44,45,116,58,20,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,tropical rainforest,deciduous,FALSE,FALSE,native,observational,TRUE,FALSE,FALSE,FALSE,FALSE,NA,200,,,,,
Aslam_2015a,1,Aslam_2015a_1,Australia ,"University of Western Sydney, Australia ",-33,-36,-39,150,44,32,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,deciduous,TRUE,TRUE,native,experimental,FALSE,TRUE,TRUE,FALSE,TRUE,time-series,1600,,,5.33,sandy loam,
Aupic_Samain_2021a,1,Aupic_Samain_2021a_1,France,"Observatoire de Haute Provence, Luberon Natural Regional Park",43,56,115,5,42,42,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,temperate seasonal forest,deciduous,FALSE,FALSE,native,experimental,FALSE,TRUE,FALSE,FALSE,FALSE,time-series,300,866.3,12.6,6.76,clay,
Aupic_Samain_2021a,2,Aupic_Samain_2021a_2,France,"Puechabon State Forest, Occitanie, SE France",4,44,45,116,58,20,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,temperate seasonal forest,mixed,FALSE,FALSE,native,experimental,FALSE,TRUE,FALSE,FALSE,FALSE,time-series,300,955.4,14,6.6,clay loam ,
Aupic_Samain_2021a,3,Aupic_Samain_2021a_3,France,"Font-Blanche, Provence , SE France",56,33,0,13,13,0,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,temperate seasonal forest,mixed,FALSE,FALSE,native,experimental,FALSE,TRUE,FALSE,FALSE,FALSE,time-series,300,605,13.7,6.8,clay,
Bakonyi_2007a,1,Bakonyi_2007a_1,Hungary,"Danube-Tisza Interfluve, Southern Great Plain, Hungary",46,53,0,19,23,0,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,temperate seasonal forest,mixed,FALSE,FALSE,native,experimental,FALSE,TRUE,FALSE,,FALSE,time-series,20,575,10.5,,sandy,
Chikoski_2006a,1,Chikoski_2006a_1,Canada,"south-central Saskatchewan, Canada ",52,10,0,106,41,0,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,temperate seasonal forest,deciduous,FALSE,FALSE,native,experimental,FALSE,TRUE,FALSE,FALSE,TRUE,time-series,997.5,,,7.14,silty clay loam ,same site as fergusen
Ferguson_2002a,1,Ferguson_2002a_1,Canada,"south-central Saskatchewan, Canada ",52,10,0,106,41,0,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,temperate seasonal forest,deciduous,FALSE,FALSE,native,experimental,FALSE,TRUE,FALSE,FALSE,TRUE,time-series,1000,,28.9,2,,
Frew_2013a,1,Frew_2013a_1,Australia ,"near Hawkesbury River in Western Sydney, Australia",-33,-36,-40,150,44,26.5,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,temperate seasonal forest,deciduous,TRUE,TRUE,native,experimental,FALSE,TRUE,FALSE,FALSE,FALSE,time-series,1600,,,,sandy loam,"only one tree species, but has diverse understory "
Homet_2021a,1,Homet_2021a_1,Spain,Los Alcornocales Natural Park,NA,NA,NA,NA,NA,NA,36.568749,-5.53564,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,temperate seasonal forest,mixed,FALSE,FALSE,native,experimental,FALSE,TRUE,TRUE,FALSE,FALSE,time-series,300,1033,,,sandy clay,refered to as woodland in text 
Homet_2021a,2,Homet_2021a_2,Spain,Los Alcornocales Natural Park,NA,NA,NA,NA,NA,NA,36.568749,-5.53564,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,temperate seasonal forest,deciduous,FALSE,FALSE,native,experimental,FALSE,TRUE,TRUE,FALSE,FALSE,time-series,300,1033,,,sand,refered to as closed forest in text 
Johnson_2018a,1,Johnson_2018a_1,Australia ,"near Hawkesbury River in Western Sydney, Australia",-33,-36,-40,150,44,26.5,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,temperate seasonal forest,deciduous,TRUE,TRUE,native,experimental,FALSE,TRUE,FALSE,FALSE,FALSE,time-series,1353.3,,,5.33,sandy loam,
Krashevska_2012a,1,Krashevska_2012a_1,Ecuador,northern border of the Podocarpus National Park,-3,-58,-30,-79,-4,-25,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,tropical rainforest,mixed,FALSE,FALSE,native,experimental,FALSE,TRUE,TRUE,FALSE,TRUE,NA,2.25,2200,19.4,4,,
