Study,Disturbance,Outcome,summary,lower,upper
Peng et al,Precipitation decrease,Density,-26.50485437,-40.19417476,-10.77669903
Peng et al,Precipitation decrease,Richness,2.038834951,-21.55339806,34.0776699
Peng et al,Precipitation increase,Density,25.33980583,1.747572816,54.75728155
Peng et al,Precipitation increase,Richness,-5.242718447,-70.19417476,159.3203883
Our study,Precipitation decrease,Density,-37.07877969,-48.31305935,-24.40048209
Our study,Precipitation decrease,Richness,-6.652137065,-12.69949631,-0.55658483
Our study,Precipitation increase,Density,34.60882547,9.134686282,66.02911972
Our study,Precipitation increase,Richness,14.54687633,6.529932281,22.93820293
