Bar0,827.7936963,,,,control mean,control+SE,SE,treatment,treatment+SE,SE
Bar1,1111.461318,,,,827.7936963,1111.461318,283.6676218,144.4126074,203.7249284,59.31232092
Bar2,144.4126074,,,,358.4527221,384.2406877,25.78796562,118.6246418,162.4641834,43.83954155
Bar3,203.7249284,,,,105.730659,126.3610315,20.63037249,61.89111748,87.67908309,25.78796562
Bar4,358.4527221,,,,,,,,,
Bar5,384.2406877,,,,,,,,,
Bar6,118.6246418,,,,,,,,,
Bar7,162.4641834,,,,,,,,,
Bar8,105.730659,,,,,,,,,
Bar9,126.3610315,,,,,,,,,
Bar10,61.89111748,,,,,,,,,
Bar11,87.67908309,,,,,,,,,
