Bar0,559.4654788,,,,control mean,control+SE,SE,treatment,treatment+SE,SE
Bar1,773.2739421,,,,559.4654788,773.2739421,213.8084633,589.7550111,773.2739421,183.518931
Bar2,589.7550111,,,,315.3674833,374.1648107,58.79732739,76.61469933,94.43207127,17.81737194
Bar3,773.2739421,,,,187.0824053,269.0423163,81.95991091,169.2650334,269.0423163,99.77728285
Bar4,315.3674833,,,,,,,,,
Bar5,374.1648107,,,,,,,,,
Bar6,76.61469933,,,,,,,,,
Bar7,94.43207127,,,,,,,,,
Bar8,187.0824053,,,,,,,,,
Bar9,269.0423163,,,,,,,,,
Bar10,169.2650334,,,,,,,,,
Bar11,269.0423163,,,,,,,,,
